file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,184,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,13
style.css,185,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,13
style.css,186,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,8
style.css,187,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,0
style.css,188,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,0
style.css,189,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,14
style.css,190,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,12
style.css,191,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,13
style.css,192,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,54
style.css,193,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,6
style.css,194,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,8
style.css,195,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,0
style.css,196,css,df3ed9a2,katiemoc,2025-04-23,19:26:22,-07:00,2025-04-23T19:26:22-07:00,0,0
style.css,197,css,8328c6b2,katiemoc,2025-04-30,20:03:55,-07:00,2025-04-30T20:03:55-07:00,0,16
style.css,198,css,8328c6b2,katiemoc,2025-04-30,20:03:55,-07:00,2025-04-30T20:03:55-07:00,0,8
style.css,199,css,8328c6b2,katiemoc,2025-04-30,20:03:55,-07:00,2025-04-30T20:03:55-07:00,0,12
style.css,200,css,8328c6b2,katiemoc,2025-04-30,20:03:55,-07:00,2025-04-30T20:03:55-07:00,0,12
